trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva,building_IDs
13,64,11,22.66950622497036,25.18834024996707,50.0,"['514303', '465186', '311107', '117115', '305045', '219636', '486285', '405479', '159900', '28159', '120305']"
13,65,1,0.6421737841773882,0.7135264268637647,25.0,['318055']
13,66,10,30.23153330293021,33.59059255881134,50.0,"['262502', '345470', '228624', '319626', '371047', '255345', '139404', '368041', '284247', '123278']"
13,67,12,51.41487843798079,57.12764270886754,75.0,"['159311', '213002', '229481', '391979', '343474', '325789', '47959', '414301', '544772', '104860', '487999', '51960']"
13,68,1,4.354528818335528,4.838365353706142,25.0,['20621']
13,69,7,24.69116554475805,27.4346283830645,50.0,"['415007', '473426', '525441', '49559', '160898', '320667', '112300']"
13,70,8,30.57479687987356,33.97199653319284,50.0,"['453474', '454770', '436517', '159349', '59912', '93768', '244264', '202039']"
13,71,13,32.17703120406768,35.752256893408536,50.0,"['183304', '407841', '106564', '486098', '226598', '192800', '139272', '391468', '127663', '682', '122061', '197532', '437412']"
13,72,12,40.15340679478642,44.61489643865158,50.0,"['395429', '67186', '318102', '119842', '510701', '446322', '464312', '188953', '527237', '31965', '461295', '447578']"
13,73,9,36.47429724919712,40.52699694355235,50.0,"['21295', '449778', '125128', '115968', '215583', '392777', '340776', '513336', '361089']"
13,74,1,4.642165077538739,5.157961197265266,25.0,['301874']
13,75,5,20.59928007342081,22.88808897046757,25.0,"['167202', '402638', '215510', '487751', '128310']"
13,76,10,25.59215121236325,28.435723569292502,50.0,"['209412', '88759', '268292', '33761', '2098', '233879', '330646', '69626', '61379', '15007']"
13,77,5,15.847251594632692,17.608057327369657,25.0,"['160880', '391944', '425465', '478833', '91397']"
13,78,12,32.004397534191334,35.56044170465704,50.0,"['329260', '396742', '381122', '523081', '185819', '482395', '173050', '459186', '438056', '373440', '541074', '32833']"
13,79,2,7.187034284011864,7.9855936489020705,25.0,"['240492', '145405']"
13,80,4,16.280471757352757,18.089413063725285,25.0,"['69842', '111501', '279160', '517258']"
13,81,4,15.135604364586763,16.81733818287418,25.0,"['543210', '267735', '66449', '506136']"
13,82,13,32.0304729953229,35.58941443924767,50.0,"['324981', '381087', '200374', '133636', '175316', '620', '409483', '85660', '526365', '439854', '335542', '312422', '361607']"
13,83,5,23.153046022818884,25.725606692020985,50.0,"['96862', '262816', '454310', '136784', '507777']"
13,84,5,21.747213778395707,24.16357086488412,25.0,"['78581', '329123', '544508', '320013', '301504']"
13,85,7,15.676775416843412,17.418639352048235,25.0,"['398312', '117120', '215656', '263068', '329861', '237120', '186924']"
13,86,5,18.911495997333624,21.01277333037069,25.0,"['48221', '79390', '547937', '428666', '50580']"
13,87,10,23.96385765450016,26.626508505000174,50.0,"['420097', '265551', '54697', '289058', '194635', '68863', '330101', '319337', '344492', '184427']"
13,88,6,29.26359044547425,32.515100494971385,50.0,"['534341', '199016', '492245', '201928', '472629', '35932']"
